Label,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189,190,191,192,193,194,195,196
1,1.05E+07,762779,280951,3.05E+06,172848,1.28E+06,1.07E+06,160409,1.64E+06,852892,1.62E+06,1.16E+06,1.19E+06,1.69E+06,919703,530636,620668,559740,1.06E+06,381164,253110,485482,593100,504101,20032,900986,436512,377012,417718,237877,6823,34219,305160,228913,142672,232830,52582,98421,54094,223746,180811,185093,410428,81245,316233,788235,10954,264864,332747,186368,46336,319276,107021,65453,124481,72483,137685,25397,25917,18784,60778,265500,145385,76350,0,16097,34777,204502,165958,312952,63566,93131,154351,15145,108322,7503,119823,123288,5271,95674,91780,101019,65648,85963,112627,48309,111780,7600,41698,109540,65912,77319,107083,72673,34955,29450,0,46016,26482,20829.9,24356.4,38658,42654,40001,41653,0,2252,0,16478,67811,11513,9124,44561,52865,61264,24717,61295,22476,30945,67571,66942,29735,39821,18082,0,45604,10174,0,39630,14284,34344,32197,18081,43431,48404,44404,8046,20382,21138,30671,16490.9,16622,0,30344,8429,36259,6407,3433,58544,15094,0,0,42967,22386,0,52075,29717,13176,33529,32498,7169,25018,19674,19932.4,0,14714,18134,16872,23310,30295,12231,16437,14382,3873,20273,8313,3764,14885,16462,15282,12793,18207,13523,0,4346,18878,10059,13346,9108,5080.04,2240,4683.96,4028,5711,5371,5631
1,3.21E+06,1.40E+06,3.96E+06,145431,515793,933140,3481,243303,2.06E+06,339591,275088,1.20E+06,169891,612457,891254,1.45E+06,1.34E+06,1.24E+06,313715,519282,124274,732203,314828,476251,111184,12900,71286,176919,2768,27991,2.23E+06,105749,477310,177464,181844,221056,37104,153522,30219,262201,19181,99783,57965,22930,244693,1.13E+06,18472,92223,58895,249096,0,62898,50584,138492,182689,38249,143417,18469,94105,48537,113760,32249,90712,20188,9635,41055,85793,18464,210272,557657,149464,139393,88982.5,430721,120803,296543,143697,107087,5620,125056,3292,13815,62336.1,156131,3121,38446,185688,2510,12030,81272,71349,19078,205395,166665,2180,22676,10717,79167,87664,7789,18809,19796,51201,0,65941,0,9383,12942,6374,2593,4094,7253,23265,83195,66142,5576,75856,15698,38597,7198,24172,4854,6537,10413,0,3219,12430,0,28668.3,71825,47848,8063,2844,50692,6923,60072,5232,5926,7118,27490.4,8524,30849,5122,7017,3521,3185,3749,4933,79023.5,28142,0,4406,4588,38533.9,0,59024.8,25797.5,7617,24518.2,23905.4,11411.2,16039,6866,4647,9294,6112,12263,11069,27217,29934.4,17741,16911.1,12859,2940,3736,13358.4,5419.65,25237,0,11500,13191.2,10558,12482.7,0,6849,3021,0,0,8036,5080.04,2272,4683.96,10377,5216,5805,10009
1,1.62E+07,698276,1.05E+06,3.39E+06,249679,1.72E+06,1.21E+06,836024,4.37E+06,1.40E+06,2.88E+06,1.38E+06,1.13E+06,1.13E+06,875540,544059,626765,632130,1.18E+06,662593,435199,537791,985453,550172,52065,1.34E+06,583968,379727,572905,599685,39556,131890,813430,725212,244112,609458,230173,174636,190757,126592,218676,371244,1.03E+06,460098,385923,558982,28086,279142,834930,459453,90984,657468,377719,289425,114591,248995,126755,103874,92897,25189,103595,230925,198733,132906,0,0,27525,188669,364857,202722,36431,192671,98259,14865,146637,9522,291523,246289,14011,126013,74332,201916,84211,153665,62483.1,61970,121844,16224,34262,140529,108789,122866,134394,151878,31152,103832,27139,115838,65100.5,6825,8502,87089,23225,0,76581,18367,36798.7,20560,29716,125031,33844,34849,47086,58355,66089,29200,66273,36861,24695,58611,52839,34016,67076,27375,30369,76929,30453,3345,45766,8275,76547,45736.5,35108,53826,38375.7,41121,15575,27777,28719,40884,14992,34438,0,59298,6225,46864,3985,9149,45790,10696,10289,13438,17232,24672,13699,45955,67863,0,40243,81724,11411.2,37543,19593,13842,0,19724.4,22934,29983,50312,42342,30121,16971,23767,5687,25078,30157,6854,26314,18207,34389,20728,12241,23308,4666,14112,0,0,25941,18908,4202,0,7933,107204,8280,6721,6570
1,1.29E+07,851155,144272,2.69E+06,416547,1.34E+06,1.14E+06,347594,1.93E+06,681318,2.13E+06,1.16E+06,940001,999750,751760,1.53E+06,627187,617710,957797,478779,567297,466717,737266,306067,64880,662048,2.57E+06,286095,262201,3.01E+06,85743,54009,455735,382584,209410,338296,101203,109529,114424,976973,241968,205318,610260,74344,416548,1.00E+06,18341,796492,551888,277546,0,372361,170084,2.21E+06,157009,87269,87535,46273,53670,41594,152716,223536,87367,113649,0,34067,34823,315848,187221,373430,135792,139200,88982.5,45297,154823,37547,137894,164899,6785,147598,66884,111554,55369,150418,122911,64672,171537,8004,49993,79165,105918,97987,206828,80102,37415,4031,32969,68657,41483,11184,13979,62209,27480,19828,58789,27412,5430,23046,16545,72978,24329,25268,56251,72767,83422,22459,80478,31688,44460,51862,30690,12809,47440,25226,12460,32354,168889,0,60630,10105,38073,34974,106380,62399,40948,57565,9072,18953,91105,31439,9311,23659,0,32579,7652,28184,5429.08,7429,70218,21868,19803,5909,11457,111191,7783,76188,30360,20031,33222,25380,6630,34251,18687,11810,16919,14908,10479,24495,27015,10463,18333,46359,18895,4015,20428,13923,4574,25577,31495,17149,13842,20537,17836,0,11426,7964,12199,19402,12426,5080.04,0,4032,117355,4566,7313,8559
1,8.92E+06,1.45E+06,110020,2.05E+06,165320,1.31E+06,1.66E+06,727650,2.31E+06,1.24E+06,2.10E+06,484550,3.39E+06,835834,772413,416600,999167,520307,894238,450752,386852,386057,807274,341080,66854,820678,654562,283118,390940,542129,20793,87863,632422,566100,175866,559088,188401,155954,112508,158622,195872,318954,391697,145542,402138,1.89E+06,32633,284910,554621,369040,0,482715,260943,167782,170678,179890,86616,81646,70993,0,27811,83760,165434,56024,18157,0,84815,199228,224929,717925,40937,159912,77766,82195,269910,75159,161318,107087,7440,263729,46845,165506,62336.1,178564,148049,62663,221549,9338,37301,68669,168634,87935,225718,96904,50082,38555,0,80321,65100.5,13010,14837,64324,21655,0,81395,0,13513,0,12933,64659,42798,56479,29905,131627,163115,33657,150882,17739,47055,36513,15001,28244,46390,27375,0,18555,58404,0,41312,18706,48892,22710,14984,95504,54537,104962,10917,45088,32750,35990,13740,22451,0,38164,8850,12348,5737,12657.1,133939,30351,0,9130,12838,21966,0,59024.8,55224,32932,38177,34536,6637,64248,26879,33090,0,19724.4,21123,24525.1,33001,18772,21620,14643,29629,4842,13632,15255,4418,29159,16204,19404,14991,8855,15340,0,6123,8607,12060,20186,15562,3346,3479,5689,6460,5092,10529,11034
1,1.20E+07,1.47E+06,1.29E+06,2.03E+06,334631,1.23E+06,1.15E+06,450218,2.75E+06,851683,1.76E+06,1.64E+06,1.13E+06,1.85E+06,1.23E+06,1.59E+06,717445,1.21E+06,1.23E+06,481684,421771,850489,864283,509110,44250,409468,2.35E+06,351047,861244,1.51E+06,1.64E+06,64823,330712,301406,182994,313798,120749,51998,41660,253862,214912,139421,413031,182663,178254,1.00E+06,18538,223198,462833,209840,59876,362669,132793,619724,129170,174492,144160,59543,21719,34956,68545,129898,101939,26526,0,28279,48035,86307,248271,392312,167120,101022,178446,294899,133016,312192,180612,98869,8271,135060,104716,133274,60215,122235,112902,39591,122263,6014,58047,78670,74525,89282,171535,106563,41505,7474,17512,45634,57255,46288,35576,23936,44548,56866,52145,0,26434,0,19355,31657,22529,31743,125412,69647,71764,35041,76309,57198,41145,52360,85531,44471,36055,28456,0,14599,73335.8,0,23557,44812,55601,48743,134498,55332,73330,57153,3688,20721,107320,30297,16490.9,36372,0,54178,7871,16282,6986,12657.1,71621,17167,0,0,24275,109019,0,72235,36046,0,24467,32371,21580,25266,15941,6792,0,15094,13121,17397,35843,46288,12225,11619,16186,4741,25180,9129,3375,19744,6727,20648,12472,21078,10803,0,5792,5747,9546,13441,15232,4719,0,3325,3993,6324,6537,6834
1,1.65E+07,530042,1.92E+06,4.70E+06,242072,1.34E+06,1.54E+06,455887,5.02E+06,2.08E+06,3.92E+06,1.57E+06,1.93E+06,1.02E+06,1.27E+06,907580,825241,570649,1.18E+06,692625,252259,565584,5.78E+06,434860,40567,1.88E+06,523228,298641,431284,503894,19562,65450,496669,454804,211410,428724,118310,124314,143717,370257,241968,408378,863881,191015,906120,1.10E+06,24367,1.12E+06,687401,271512,49748,637579,197494,211872,268594,125783,89193,65350,66153,23131,534884,444965,299314,90610,11079,20742,51759,555418,484223,476462,121377,120853,86119,97429.2,217074,97352.8,371790,285744,8274,213264,91780,190559,112163,151126,62483.1,75649,167052,9698,52928,115891,133911,163142,150715,142080,50159,49606,0,62258,65100.5,10326,11205,71687,185059,10367,86509,8940,9009,12749,21693,138391,21132,19750,88590,120937,135934,65250,135965,25600,33705,74340,28116,45344,75556,34649,27543,66631,48058,0,108665,16800,91540,48118,45247,62441,77135,95699,10333,40109,25117,51992,16490.9,21943,0,74118,13701,42455,3567,9094,92032,47838,10832,12339,33261,50435,10378,66831,53383,12654,62412,57699,7997,55521,9814,7844,9493,53431,39117,29990,61334,33315,16569,58637,24117,6813,52058,12593,8658,25298,45979,43352,28076,17937.2,25467,0,14805,8352,0,44729,27981,5162,3479,5018,5419,10271,7271,9858
1,7.12E+06,1.03E+06,2.48E+06,614423,130060,1.34E+06,3.16E+06,1.36E+06,4.63E+06,1.48E+06,644300,1.50E+06,1.07E+06,582428,846372,3.19E+06,1.78E+06,871146,502992,633595,352247,1.02E+06,580717,489161,72828,203245,630493,390535,658913,723150,1.40E+06,248745,394068,332196,187019,334724,421520,235948,271781,436428,200111,65943,221949,833940,127839,715697,44000,141174,266424,244837,58559,136441,150866,237491,59749,218566,158358,211864,106674,13858,98730,58010,148324,63481,0,0,133063,68087,417432,263711,172572,108451,88982.5,203027,150332,198000,211922,48932,20134,123342,113178,88789,63401,141914,32473,11562,130482,12128,43203,81817,94942,55496,155760,108896,20462,7183,0,54405,65100.5,14938,20125,44189,72958,50397,102214,9121,66950,0,24703,21206,45580,57599,151615,61445,79933,38499,76506,139848,23338,37620.6,23397,33570,25324,69183,32289,15461,129407,4619,12488,54685,97430,100395,30290,55236,22627,53771,18702,20268.5,36429,20325,20268,10616,7502,32653.4,16873,13296,5424,14465,53765,20079,16179,14492,17221,21256,19254,54383,14818,0,11170,11485,12735,37230,21473,26134,9010,31019,21989,24175,56512,57217,14800,9284,17797,5134,10149,10981,11338,23024,6366,38595,6762,20246,12482.7,7637,14237,0,0,0,26785,6807,0,3724,257343,9367,7568.38,7213
1,2.24E+06,929345,1.27E+06,244268,172326,871050,3.59E+06,4.36E+06,3.21E+06,683219,161191,732577,575985,255986,725425,725296,2.03E+06,428516,178439,613377,222695,527352,121750,244852,242918,58019,637493,327533,477095,738857,375695,434125,362909,317866,242290,306438,1.21E+06,237556,173719,91349,118293,55785,75032,197319,54614,931060,27475,28444,82243,222717,44045,78773,148160,269247,24650,790618,143417,675445,98126,0,73909,23481,125878,155762,60170,0,214618,18767,265949,380546,43131,97676,88982.5,84254,140858,80186,203336,107087,5628,149293,71525,37499,24770,113573,62483.1,5574,135484,9916,27300,32846,90716,11645,126309,148394,32377.9,50114,12479,49511,65100.5,34721,25365,81169,22421,0,64345,0,86023,0,17443,40871,38875,37785,82151,75921,86076,46440,83755,47705,30701,8006,8181,15797,10113,32818,17192,5320,41890,0,28668.3,76280,56444,67961,14568,53407,38375.7,60438,20729,20268.5,30420,8986,18562,17504,17008,32653.4,7689,7206,5429.08,16676,70132,8641,32048,13048,6817,16649,12686,65534,7233,0,24518.2,5389,8224,40396,9513,40641,7938,15841,15334,21997,38040,10706,13515,16911.1,20536.5,11519,16844.4,10391,7464,19472,0,25762,13191.2,16309,12482.7,0,14944,12535,0,0,18675,4092,0,2906,138401,6493,6328,6128
1,5.46E+06,557447,1.09E+06,393701,199181,1.34E+06,2.62E+06,397238,2.22E+06,573102,397180,1.86E+06,684959,475745,840789,1.39E+06,1.33E+06,635119,298795,804315,417728,1.03E+06,281218,437225,184967,53326,1.10E+06,390535,514623,901605,482293,64953,237113,199402,272404,212802,116469,215559,148373,347093,314131,58921,144115,254932,117759,560257,32238,120585,126592,143587,96485,81567,89607,304041,99421,91979,152593,54849,69350,19307,336904,35921,304262,205976,46974,15434,185813,61012,169365,277521,140167,65270,88982.5,147344,88253,155311,211922,30899,5466,89261,145374,46964,37898,74430,23433,14344,79450,7667,60535,66475,56801,29289,78646,81327,11682,42723,19299,35737,36447,9418,7379,33871,29776,0,51316,14479,10691,0,12431,40871,26217,27370,89366,49597,59920,39974,57923,40536,24210,16976,33021,17017,18712,27789,0,6715,130155,0,9517,36940,42148,81922,63591,32394,8217,42034,8768,20268.5,56316,11418,17997,15224,18785,22645,4436,9564,3667,18957,79023.5,19195,34401,9247,20576,44089,10557,36905,8606,8365,11750,5509,9017,22053,18716.6,33364,28572,16830,48535,13323,23985,38504,9267,9822,12957,5080.75,8361,7335,5228,13135,0,16423,13191.2,8652,12482.7,7790,7197,6086,0,0,13273,3408,6393,4683.96,173697,4584,3976,3790
